Name,Amount,Payment Date,Payor,Payor City,Payor State,Payee,Payee City,Payee State,Description,Notice Received,LGC Purpose
"Brown, Jr., Edumund G",5000,2011-02-23,Tim Leiweke,Los Angeles,CA,Governor's 2011 Inaugural Committee,Oakland,CA,Monetary Support for Inaugural Activities,3/7/2011,Governmental
"Brown, Jr., Edumund G",15000,2011-04-16,Tilden Family Fund,San Francisco,CA,Oakland School for the Arts,Oakland,CA,This was a donation to a charter school.,5/17/2011,Charitable
"Brown, Jr., Edumund G",5000,2011-02-03,Tejon Ranch Company,Lebec,CA,Governor's 2011 Inaugural Committee,Oakland,CA,Monetary Support for Inaugural Activities,3/7/2011,Governmental
"Brown, Jr., Edumund G",5000,2011-01-06,Sycuan Band of Kumeyaay Nation,El Cajon,CA,Governor's 2011 Inaugural Committee,Oakland,CA,Monetary Support for Inaugural Activities,1/31/2011,Governmental
"Brown, Jr., Edumund G",10000,2011-04-29,Sycuan Band of Kumeyaay Nation,El Cajon,CA,Oakland School for the Arts,Oakland,CA,This was a donation to a charter school.,5/25/2011,Charitable
"Brown, Jr., Edumund G",5000,2011-05-06,SWS Charitable Foundation,Miami,FL,Oakland School for the Arts,Oakland,CA,This was a donation to a charter school.,6/2/2011,Charitable
"Brown, Jr., Edumund G",5000,2011-02-10,SunPower,San Jose,CA,Governor's 2011 Inaugural Committee,Oakland,CA,Monetary Support for Inaugural Activities,3/7/2011,Governmental
"Brown, Jr., Edumund G",6000,2011-01-03,Sukhi's,Hayward,CA,Governor's 2011 Inaugural Committee,Oakland,CA,"In Kind Goods or Services for Food, Labor and Supplies for Inaugural Reception. ",2/4/2011,Governmental
"Brown, Jr., Edumund G",5000,2011-06-11,Stupski Family Foundation,San Francisco,CA,Oakland School for the Arts,Oakland,CA,This was a charitable donation to a charter school.,7/11/2011,Charitable
"Brown, Jr., Edumund G",5000,2011-05-20,Stephen M Silberstein Foundation,Belvedere,CA,Oakland School for the Arts,Oakland,CA,This was a donation to a charter school.,6/20/2011,Charitable
"Brown, Jr., Edumund G",5000,2011-01-19,Stephen Bechtel Fund,San Francisco,CA,Oakland Military Institute,Oakland,CA,This is a donation to a charter school.,2/16/2011,Charitable
"Brown, Jr., Edumund G",5000,2011-01-14,State Farm Insurance,Bloomington,IL,Governor's 2011 Inaugural Committee,Oakland,CA,Monetary Support for Inaugural Activities,1/31/2011,Governmental
"Brown, Jr., Edumund G",5000,2011-03-15,State Farm Insurance,Bakersfield,CA,Oakland Military Institute,Oakland,CA,This was a donation to a charter school.,4/8/2011,Charitable
"Brown, Jr., Edumund G",5000,2011-01-14,State Building & Construction Trades Council,Sacramento,CA,Oakland Military Institute,Oakland,CA,This is a donation to a charter school.,1/31/2011,Charitable
"Brown, Jr., Edumund G",5000,2011-02-16,Sierra Pacific Institute,Redding,CA,Oakland Military Institute,Oakland,CA,This is a charitable donation to a charter school.,3/15/2011,Charitable
"Brown, Jr., Edumund G",5000,2011-01-17,Shultz Family Fund,San Francisco,CA,Oakland Military Institute,Oakland,CA,This is a donation to a charter school.,2/16/2011,Charitable
"Brown, Jr., Edumund G",5000,2011-03-21,SF Police Officers Assoc,San Francisco,CA,Oakland Military Institute,Oakland,CA,This was a charitable donation to a charter school.,4/19/2011,Charitable
"Brown, Jr., Edumund G",5000,2011-05-06,SEIU,Sacramento,CA,Oakland School for the Arts,Oakland,CA,This was a donation to a charter school.,6/2/2011,Charitable
"Brown, Jr., Edumund G",5000,2011-01-10,Scientific Games,Alpharetta,GA,Governor's 2011 Inaugural Committee,Oakland,CA,Monetary Support for Inaugural Activities,1/31/2011,Governmental
"Brown, Jr., Edumund G",5000,2011-01-03,School Services,Sacramento,CA,Governor's 2011 Inaugural Committee,Oakland,CA,Monetary Support for Inaugural Activities,1/31/2011,Governmental
"Brown, Jr., Edumund G",5000,2011-01-10,Scca,Commerce,CA,Governor's 2011 Inaugural Committee,Oakland,CA,Monetary Support for Inaugural Activities,1/31/2011,Governmental
"Brown, Jr., Edumund G",5000,2011-01-03,Santa Anita Park,Arcadia,CA,Governor's 2011 Inaugural Committee,Oakland,CA,Monetary Support for Inaugural Activities,1/31/2011,Governmental
"Brown, Jr., Edumund G",100000,2011-04-25,San Pablo Lytton Casino,Sacramento,CA,Oakland School for the Arts,Oakland,CA,This was a donation to a charter school.,5/17/2011,Charitable
"Brown, Jr., Edumund G",50000,2011-03-19,San Pablo Lytton Casino,San Pablo,CA,Oakland Military Institute,Oakland,CA,This was a charitable donation to a charter school.,4/19/2011,Charitable
"Brown, Jr., Edumund G",25000,2011-04-29,Safeway Foundation,Pleasanton,CA,Oakland School for the Arts,Oakland,CA,This was a donation to a charter school.,5/25/2011,Charitable
"Brown, Jr., Edumund G",25000,2011-01-31,Safeway Foundation,Pleasanton,CA,Oakland Military Institute,Oakland,CA,This is a donation to a charter school.,2/25/2011,Charitable
"Brown, Jr., Edumund G",5000,2011-01-18,Safeway,Pleasanton,CA,Governor's 2011 Inaugural Committee,Oakland,CA,Monetary Support for Inaugural Activities,1/31/2011,Governmental
"Brown, Jr., Edumund G",5000,2011-01-19,Rudd Family Foundation,Lafayette,CA,Oakland Military Institute,Oakland,CA,This is a donation to a charter school.,2/16/2011,Charitable
"Brown, Jr., Edumund G",5000,2011-04-27,Rudd Family Foundation,Lafayette,CA,Oakland School for the Arts,Oakland,CA,This was a donation to a charter school.,5/25/2011,Charitable
"Brown, Jr., Edumund G",5000,2011-04-25,Rock Foundation,San Francisco,CA,Oakland School for the Arts,Oakland,CA,This was a donation to a charter school.,5/25/2011,Charitable
"Brown, Jr., Edumund G",5000,2011-02-22,Rock Foundation,San Francisco,CA,Oakland Military Institute,Oakland,CA,This was a donation to a charter school.,3/23/2011,Charitable
"Brown, Jr., Edumund G",25000,2011-02-25,Roberts Foundation,San Mateo,CA,Oakland Military Institute,Oakland,CA,This was a donation to a charter school.,3/23/2011,Charitable
"Brown, Jr., Edumund G",5000,2011-01-07,Robert Teller,Newport Beach,CA,Governor's 2011 Inaugural Committee,Oakland,CA,Monetary Support for Inaugural Activities,1/31/2011,Governmental
"Brown, Jr., Edumund G",5000,2011-05-13,Robert Downey Jr,Venice,CA,Oakland School for the Arts,Oakland,CA,This is a monetary donation to a charter school.,6/13/2011,Charitable
"Brown, Jr., Edumund G",25000,2011-03-04,Robert A Day,Los Angeles,CA,Oakland Military Institute,Oakland,CA,This was a donation to a charter school.,4/4/2011,Charitable
"Brown, Jr., Edumund G",5000,2010-12-30,Richard Wunderle,Poway,CA,Governor's 2011 Inaugural Committee,Oakland,CA,Monetary Support for Inaugural Activities,1/31/2011,Governmental
"Brown, Jr., Edumund G",5000,2011-01-31,Richard C Blum and Diane Feinstein,San Francisco,CA,Oakland Military Institute,Oakland,CA,This is a donation to a charter school.,2/25/2011,Charitable
"Brown, Jr., Edumund G",15000,2011-04-15,Resnick Foundation,Los Angeles,CA,Oakland School for the Arts,Oakland,CA,This was a donation to a charter school.,5/4/2011,Charitable
"Brown, Jr., Edumund G",5000,2011-01-07,Rentech,Los Angeles,CA,Governor's 2011 Inaugural Committee,Oakland,CA,Monetary Support for Inaugural Activities,1/31/2011,Governmental
"Brown, Jr., Edumund G",5000,2011-01-03,Reed Elsevier,Newton,MA,Governor's 2011 Inaugural Committee,Oakland,CA,Monetary Support for Inaugural Activities,1/31/2011,Governmental
"Brown, Jr., Edumund G",5000,2011-03-04,Rancho Mission Viejo,San Juan Capistrano,CA,Oakland Military Institute,Oakland,CA,This was a donation to a charter school.,4/4/2011,Charitable
"Brown, Jr., Edumund G",5000,2011-04-11,Ramsell Holding Company,Oakland,CA,Oakland School for the Arts,Oakland,CA,This was a donation to a charter school.,5/4/2011,Charitable
"Brown, Jr., Edumund G",6400,2010-12-03,Pulte Home Corporation,Pleasanton,CA,Oakland School for the Arts,Oakland,CA,This is a donation to a charter school.,1/14/2011,Charitable
"Brown, Jr., Edumund G",5000,2010-12-30,Professional Engineers in California Government,Sacramento,CA,Governor's 2011 Inaugural Committee,Oakland,CA,Monetary Support for Inaugural Activities,1/31/2011,Governmental
"Brown, Jr., Edumund G",5000,2011-05-13,Port of Oakland,Oakland,CA,Oakland School for the Arts,Oakland,CA,This is a monetary donation to a charter school.,6/13/2011,Charitable
"Brown, Jr., Edumund G",5000,2011-01-07,Political Action for Classified Employees of CA School Employees ,Sacramento,CA,Governor's 2011 Inaugural Committee,Oakland,CA,Monetary Support for Inaugural Activities,1/31/2011,Governmental
"Brown, Jr., Edumund G",10000,2011-04-15,Platinum Advisors,Sacramento,CA,Oakland School for the Arts,Oakland,CA,This was a donation to a charter school.,5/4/2011,Charitable
"Brown, Jr., Edumund G",5000,2011-04-06,Pipkin Charitable Foundation,Los Angeles,CA,Oakland School for the Arts,Oakland,CA,This was a donation to a charter school.,5/4/2011,Charitable
"Brown, Jr., Edumund G",5000,2011-03-15,PhRMA,Sacramento,CA,Oakland Military Institute,Oakland,CA,This was a donation to a charter school.,4/8/2011,Charitable
"Brown, Jr., Edumund G",25000,2011-04-11,PG&E,Sacramento,CA,Oakland Military Institute,Oakland,CA,This was a donation to a charter school.,5/4/2011,Charitable
"Brown, Jr., Edumund G",25000,2011-04-25,PG&E,Sacramento,CA,Oakland School for the Arts,Oakland,CA,This was a donation to a charter school.,5/25/2011,Charitable
"Brown, Jr., Edumund G",5000,2011-02-22,Pfizer,Sacramento,CA,Oakland Military Institute,Oakland,CA,This was a donation to a charter school.,3/23/2011,Charitable
"Brown, Jr., Edumund G",5000,2011-02-22,PepsiCo,Purchase,NY,Oakland Military Institute,Oakland,CA,This was a donation to a charter school.,3/23/2011,Charitable
"Brown, Jr., Edumund G",25000,2011-05-23,Pechenga Band of Luiseno Indians,Temecula,CA,Oakland School for the Arts,Oakland,CA,This was a charitable donation to a charter school.,6/23/2011,Charitable
"Brown, Jr., Edumund G",5000,2011-01-06,Peace Officers Research Assoc,Sacramento,CA,Governor's 2011 Inaugural Committee,Oakland,CA,Monetary Support for Inaugural Activities,1/31/2011,Governmental
"Brown, Jr., Edumund G",5000,2011-03-28,Paskenta Band of Nomiaki Indians,Orland,CA,Oakland Military Institute,Oakland,CA,This is a donation to a charter school.,4/28/2011,Charitable
"Brown, Jr., Edumund G",5000,2011-02-03,Parson's,Washington,DC,Governor's 2011 Inaugural Committee,Oakland,CA,Monetary Support for Inaugural Activities,3/7/2011,Governmental
"Brown, Jr., Edumund G",5000,2011-01-12,Pacific Compensation Insurance Co,Thousand Oaks,CA,Governor's 2011 Inaugural Committee,Oakland,CA,Monetary Support for Inaugural Activities,1/31/2011,Governmental
"Brown, Jr., Edumund G",5000,2011-01-31,Ozzi Silna,Malibu,CA,Oakland Military Institute,Oakland,CA,This is a donation to a charter school.,2/25/2011,Charitable
"Brown, Jr., Edumund G",10000,2011-02-03,Oracle,Washington,DC,Governor's 2011 Inaugural Committee,Oakland,CA,Monetary Support for Inaugural Activities,3/7/2011,Governmental
"Brown, Jr., Edumund G",5000,2010-12-03,Operating Engineers,Alameda,CA,Governor's 2011 Inaugural Committee,Oakland,CA,Monetary Support for Inaugural Activities,1/31/2011,Governmental
"Brown, Jr., Edumund G",25000,2011-03-21,Occidental Petroleum Corp,Los Angeles,CA,Oakland Military Institute,Oakland,CA,This was a charitable donation to a charter school.,4/19/2011,Charitable
"Brown, Jr., Edumund G",5000,2011-03-21,NORCAL Mutual Insurance Company,San Francisco,CA,Oakland Military Institute,Oakland,CA,This was a charitable donation to a charter school.,4/19/2011,Charitable
"Brown, Jr., Edumund G",26199,2011-01-03,Nick Nicora,Castro Valley,CA,Governor's 2011 Inaugural Committee,Oakland,CA,"In Kind Goods or Services for Food, Labor and Supplies for Inaugural Reception. ",2/4/2011,Governmental
"Brown, Jr., Edumund G",5000,2011-01-20,NextEra Energy Resources,Juno Beach,FL,Governor's 2011 Inaugural Committee,Oakland,CA,Monetary Support for Inaugural Activities,1/31/2011,Governmental
"Brown, Jr., Edumund G",5000,2011-03-04,Motorola Solutions,Los Alamitos,CA,Oakland Military Institute,Oakland,CA,This was a donation to a charter school.,4/4/2011,Charitable
"Brown, Jr., Edumund G",25000,2011-04-25,Moss Foundation,Beverly Hills,CA,Oakland School for the Arts,Oakland,CA,This was a donation to a charter school.,5/25/2011,Charitable
"Brown, Jr., Edumund G",5000,2011-06-22,Morongo Band of Mission Indians,Banning,CA,Oakland School for the Arts,Oakland,CA,This was a charitable donation to a charter school.,7/26/2011,Charitable
"Brown, Jr., Edumund G",5000,2011-03-28,Morongo Band of Mission Indians,Banning,CA,Oakland Military Institute,Oakland,CA,This is a donation to a charter school.,4/28/2011,Charitable
"Brown, Jr., Edumund G",5000,2011-01-07,Morongo,Banning,CA,Governor's 2011 Inaugural Committee,Oakland,CA,Monetary Support for Inaugural Activities,1/31/2011,Governmental
"Brown, Jr., Edumund G",5000,2011-02-04,MillerCoors,Milwaukee,WI,Governor's 2011 Inaugural Committee,Oakland,CA,Monetary Support for Inaugural Activities,3/7/2011,Governmental
"Brown, Jr., Edumund G",5000,2011-01-17,Milken Family Trust,Santa Monica,CA,Oakland Military Institute,Oakland,CA,This is a donation to a charter school.,2/16/2011,Charitable
"Brown, Jr., Edumund G",10000,2011-04-11,Milken Family Foundation,Santa Monica,CA,Oakland School for the Arts,Oakland,CA,This was a donation to a charter school.,5/4/2011,Charitable
"Brown, Jr., Edumund G",25000,2011-04-13,Milan Panic Jr Foundation,Irvine,CA,Oakland School for the Arts,Oakland,CA,This was a donation to a charter school.,5/4/2011,Charitable
"Brown, Jr., Edumund G",5000,2011-03-17,Microsoft,Fargo,ND,Governor's 2011 Inaugural Committee,Oakland,CA,Monetary Support for Inaugural Activities,4/6/2011,Charitable
"Brown, Jr., Edumund G",5000,2011-01-12,McKesson Corp,Carrollton,TX,Governor's 2011 Inaugural Committee,Oakland,CA,Monetary Support for Inaugural Activities,1/31/2011,Governmental
"Brown, Jr., Edumund G",5000,2011-02-16,Marvell Semiconductor,Santa Clara,CA,Governor's 2011 Inaugural Committee,Oakland,CA,Monetary Support for Inaugural Activities,3/7/2011,Governmental
"Brown, Jr., Edumund G",5000,2011-01-14,Margaret N Quattrin,San Francisco,CA,Oakland Military Institute,Oakland,CA,This is a donation to a charter school.,1/31/2011,Charitable
"Brown, Jr., Edumund G",5000,2011-02-25,Margaret N Quattrin,San Francisco,CA,Oakland Military Institute,Oakland,CA,This was a donation to a charter school.,3/23/2011,Charitable
"Brown, Jr., Edumund G",5000,2011-05-13,Margaret N Quattrin,San Francisco,CA,Oakland School for the Arts,Oakland,CA,This is a monetary donation to a charter school.,6/13/2011,Charitable
"Brown, Jr., Edumund G",5000,2011-01-21,Majestic Realty Co,City of Industry,CA,Governor's 2011 Inaugural Committee,Oakland,CA,Monetary Support for Inaugural Activities,1/31/2011,Governmental
"Brown, Jr., Edumund G",10000,2011-03-31,Macy's ,Orinda,CA,Oakland Military Institute,Oakland,CA,This is a donation to a charter school.,4/28/2011,Charitable
"Brown, Jr., Edumund G",5000,2011-02-18,Lytton Rancheria,Santa Rosa,CA,Governor's 2011 Inaugural Committee,Oakland,CA,Monetary Support for Inaugural Activities,3/7/2011,Governmental
"Brown, Jr., Edumund G",5000,2011-06-17,Lindemann Foundation,Los Angeles,CA,Oakland School for the Arts,Oakland,CA,This was a charitable donation to a charter school.,7/15/2011,Charitable
"Brown, Jr., Edumund G",5000,2010-12-29,Lewis Operating Corp,Upland,CA,Governor's 2011 Inaugural Committee,Oakland,CA,Monetary Support for Inaugural Activities,1/31/2011,Governmental
"Brown, Jr., Edumund G",50000,2011-01-14,LEF Foundation,San Rafael,CA,Oakland School for the Arts,Oakland,CA,This is a donation to a charter school.,1/31/2011,Charitable
"Brown, Jr., Edumund G",5000,2011-03-04,Law Offices of Carl A Capozzola,Redondo Beach,CA,Oakland Military Institute,Oakland,CA,This was a donation to a charter school.,4/4/2011,Charitable
"Brown, Jr., Edumund G",10000,2011-07-06,Larry L Hillblom Foundation,Petaluma,CA,Oakland School for the Arts,Oakland,CA,This was a charitable donation to a charter school.,8/2/2011,Charitable
"Brown, Jr., Edumund G",5000,2011-04-15,Larry C Flynt,Beverly Hills,CA,Oakland School for the Arts,Oakland,CA,This was a donation to a charter school.,5/4/2011,Charitable
"Brown, Jr., Edumund G",100000,2011-11-21,Land of the Free Foundation,City of Industry,CA,Oakland Military Institute,Oakland,CA,This was a charitable donation to a charter school.,12/14/2011,Charitable
"Brown, Jr., Edumund G",5000,2011-02-03,Kroger Ralphs,Los Angeles,CA,Governor's 2011 Inaugural Committee,Oakland,CA,Monetary Support for Inaugural Activities,3/7/2011,Governmental
"Brown, Jr., Edumund G",5000,2011-03-03,Kraft,Portland,OR,Governor's 2011 Inaugural Committee,Oakland,CA,Monetary Support for Inaugural Activities,4/6/2011,Charitable
"Brown, Jr., Edumund G",50000,2011-05-20,Koret Foundation,San Francisco,CA,Oakland Military Institute,Oakland,CA,This was a donation to a charter school.,6/20/2011,Charitable
"Brown, Jr., Edumund G",5000,2011-01-03,Killpatrick Stockon,Atlanta,GA,Governor's 2011 Inaugural Committee,Oakland,CA,Monetary Support for Inaugural Activities,1/31/2011,Governmental
"Brown, Jr., Edumund G",5000,2010-12-28,Kaplan,Alpharetta,GA,Governor's 2011 Inaugural Committee,Oakland,CA,Monetary Support for Inaugural Activities,1/31/2011,Governmental
"Brown, Jr., Edumund G",25000,2011-04-08,Kanbar Charitable Trust,San Francisco,CA,Oakland Military Institute,Oakland,CA,This was a donation to a charter school.,5/4/2011,Charitable
"Brown, Jr., Edumund G",20000,2011-04-29,Kaiser Permanente,Oakland,CA,Oakland Military Institute,Oakland,CA,This was a donation to a charter school.,5/26/2011,Charitable
"Brown, Jr., Edumund G",25000,2011-06-20,Kaiser Permanente,Oakland,CA,Oakland School for the Arts,Oakland,CA,This was a charitable donation to a charter school.,7/20/2011,Charitable
"Brown, Jr., Edumund G",5000,2011-05-31,John & Marcia Goldman Foundation,Brentwood,CA,Oakland School for the Arts,Oakland,CA,This is a charitable donation to a charter school.,6/29/2011,Charitable
"Brown, Jr., Edumund G",25000,2011-01-21,Intel,Santa Clara,CA,Oakland Military Institute,Oakland,CA,This is a donation to a charter school.,2/16/2011,Charitable
"Brown, Jr., Edumund G",5000,2011-01-07,Insurance Brokers and Agent,Granite Bay,CA,Governor's 2011 Inaugural Committee,Oakland,CA,Monetary Support for Inaugural Activities,1/31/2011,Governmental
"Brown, Jr., Edumund G",15248,2011-01-03,Hoot Owl Creek Winery,Alameda,CA,Governor's 2011 Inaugural Committee,Oakland,CA,"In Kind Goods or Services for Food, Labor and Supplies for Inaugural Reception. ",2/4/2011,Governmental
"Brown, Jr., Edumund G",25000,2011-03-20,Hon Richard J Riordan,Los Angeles,CA,Oakland Military Institute,Oakland,CA,This was a charitable donation to a charter school.,4/19/2011,Charitable
"Brown, Jr., Edumund G",5000,2011-01-12,Home Depot,Atlanta,CA,Governor's 2011 Inaugural Committee,Oakland,CA,Monetary Support for Inaugural Activities,1/31/2011,Governmental
"Brown, Jr., Edumund G",5000,2011-01-07,HNTB,Kansas City,MO,Governor's 2011 Inaugural Committee,Oakland,CA,Monetary Support for Inaugural Activities,1/31/2011,Governmental
"Brown, Jr., Edumund G",25000,2011-01-31,Hewlett Packard,Palo Alto,CA,Oakland Military Institute,Oakland,CA,This is a donation to a charter school.,2/25/2011,Charitable
"Brown, Jr., Edumund G",5000,2011-02-15,Hewlett Packard,Pontiac,MI,Governor's 2011 Inaugural Committee,Oakland,CA,Monetary Support for Inaugural Activities,3/7/2011,Governmental
"Brown, Jr., Edumund G",25000,2011-06-11,Hewlett Packard,Palo Alto,CA,Oakland School for the Arts,Oakland,CA,This was a charitable donation to a charter school.,7/11/2011,Charitable
"Brown, Jr., Edumund G",150000,2011-01-10,Hearst Foundation,San Francisco,CA,Oakland School for the Arts,Oakland,CA,This is a donation to a charter school.,1/31/2011,Charitable
"Brown, Jr., Edumund G",100000,2011-02-22,Hastings Quillin Fund,Santa Cruz,CA,Oakland Military Institute,Oakland,CA,This is a charitable donation to a charter school.,3/15/2011,Charitable
"Brown, Jr., Edumund G",25000,2011-06-11,Harriet Heyman and Michael Moritz Fund,San Francisco,CA,Oakland School for the Arts,Oakland,CA,This was a charitable donation to a charter school.,7/11/2011,Charitable
"Brown, Jr., Edumund G",5000,2011-05-13,Hanson Bridgett,San Francisco,CA,Oakland School for the Arts,Oakland,CA,This is a monetary donation to a charter school.,6/13/2011,Charitable
"Brown, Jr., Edumund G",10000,2011-02-25,Hanson Bridgett,San Francisco,CA,Oakland Military Institute,Oakland,CA,This was a donation to a charter school.,3/23/2011,Charitable
"Brown, Jr., Edumund G",5000,2011-01-14,H F Lenfest,West Conshocken,PA,Oakland Military Institute,Oakland,CA,This is a donation to a charter school.,1/31/2011,Charitable
"Brown, Jr., Edumund G",5000,2011-01-07,Greenberg Traurig,Sacramento,CA,Governor's 2011 Inaugural Committee,Oakland,CA,Monetary Support for Inaugural Activities,1/31/2011,Governmental
